"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2015","1","1","Midwest","6","56","Butler","Texas","48","11","BE","B12"
"2015","1","1","Midwest","3","69","Notre Dame","Northeastern","65","14","ACC","CAA"
"2015","1","1","Midwest","5","68","West Virginia","Buffalo","62","12","B12","MAC"
"2015","1","1","Midwest","2","75","Kansas","New Mexico St","56","15","B12","WAC"
"2015","1","1","Midwest","8","66","Cincinnati","Purdue","65","9","Amer","B10"
"2015","1","2","West","4","67","North Carolina","Harvard","65","13","ACC","Ivy"
"2015","1","2","West","7","72","VCU","Ohio St","75","10","A10","B10"
"2015","1","2","West","8","79","Oregon","Oklahoma St","73","9","P12","B12"
"2015","1","2","West","5","56","Arkansas","Wofford","53","12","SEC","SC"
"2015","1","2","West","6","76","Xavier","Ole Miss","57","11","BE","SEC"
"2015","1","2","West","2","93","Arizona","Texas Southern","72","15","P12","SWAC"
"2015","1","2","West","3","56","Baylor","Georgia St","57","14","B12","SB"
"2015","1","3","East","4","57","Louisville","UC Irvine","55","13","ACC","BW"
"2015","1","3","East","1","93","Villanova","Lafayette","52","16","BE","Pat"
"2015","1","3","East","2","79","Virginia","Belmont","67","15","ACC","OVC"
"2015","1","3","East","3","69","Oklahoma","Albany","60","14","B12","AE"
"2015","1","3","East","5","71","Northern Iowa","Wyoming","54","12","MVC","MWC"
"2015","1","3","East","6","53","Providence","Dayton","66","11","BE","A10"
"2015","1","3","East","7","70","Michigan St","Georgia","63","10","B10","SEC"
"2015","1","3","East","8","66","NC State","LSU","65","9","ACC","SEC"
"2015","1","4","South","2","86","Gonzaga","North Dakota St","76","15","WCC","Sum"
"2015","1","4","South","3","59","Iowa St","UAB","60","14","B12","CUSA"
"2015","1","4","South","4","84","Georgetown","Eastern Washington","74","13","BE","BSky"
"2015","1","4","South","5","57","Utah","Stephen F Austin","50","12","P12","Slnd"
"2015","1","4","South","6","59","SMU","UCLA","60","11","Amer","P12"
"2015","1","4","South","7","83","Iowa","Davidson","52","10","B10","A10"
"2015","1","4","South","8","76","San Diego St","St Johns","64","9","MWC","BE"
"2015","1","4","South","1","85","Duke","Robert Morris","56","16","ACC","NEC"
"2015","2","1","Midwest","4","59","Maryland","West Virginia","69","5","B10","B12"
